name,price,speed,modules,color,cas_latency
Corsair Vengeance RGB Pro 32 GB,128.99,"4,3200","4,8",Black,16
G.Skill Ripjaws M5 RGB 32 GB,114.99,"5,6000","2,16",White,30
Kingston FURY Beast 16 GB,74.54,"4,3200","1,16",Black,16
G.Skill Flare X5 96 GB,329.99,"5,6000","2,48",Black,30
Kingston FURY Beast 32 GB,93.99,"5,5200","2,16",Black / Silver,40
Patriot Viper Venom 32 GB,83.99,"5,5600","2,16",Black / White,36
Silicon Power XPOWER Storm RGB 32 GB,94.97,"5,6400","2,16",Black,32
Corsair Vengeance LPX 16 GB,48.99,"4,3600","2,8",Black / Yellow,16
Corsair Dominator Platinum RGB 64 GB,377.99,"5,6600","4,16",Black,32
Silicon Power XPOWER Storm RGB 32 GB,85.99,"5,6000","2,16",White,36
TEAMGROUP Elite 16 GB,48.99,"4,3200","2,8",Black,22
Klevv BOLT X 32 GB,80.98,"4,3600","2,16",Black,18
Crucial Classic 64 GB,130.99,"5,5600","2,32",Black,46
Corsair Vengeance RGB 32 GB,94.99,"5,6000","2,16",Black / Gray,36
TEAMGROUP T-Create Expert 16 GB,45.99,"4,3200","2,8",Gray,16
Klevv BOLT X 16 GB,47.99,"4,3600","2,8",Black,18
Corsair Vengeance 32 GB,94.99,"5,4800","2,16",Black,40
G.Skill Aegis 16 GB,36.99,"4,3000","2,8",Black / Red,16
TEAMGROUP Elite 32 GB,75.98,"5,5600","2,16",Black,46
Corsair Vengeance 32 GB,89.99,"5,5600","2,16",Black / Gray,40
Patriot Viper Venom RGB 32 GB,84.99,"5,6000","2,16",Black / White,36
Timetec PINNACLE Konduit 16 GB,33.99,"4,3600","2,8",White,18
Patriot Viper 4 Blackout 64 GB,1203.86,"4,3000","2,32",Black,16
Crucial CT64G4YFQ426S 64 GB,649.95,"4,2666","1,64",Green / Black,19
G.Skill Ripjaws S5 64 GB,192.99,"5,6000","2,32",Black,30
Corsair Vengeance RGB 32 GB,121.99,"5,5600","2,16",Black / Gray,40
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6400","2,16",White,40
Crucial CT64G56C46U5 64 GB,156.99,"5,5600","1,64",Black,46
TEAMGROUP T-Force DELTAα RGB 16 GB,69.99,"5,6000","2,8",White,38
G.Skill Ripjaws V 32 GB,99.99,"4,4000","2,16",Black,18
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"5,6000","2,32",Black,38
Klevv KD5AGU880-56K300F 32 GB,80.98,"5,5600","2,16",White,30
Crucial CT8G48C40U5 8 GB,24.98,"5,4800","1,8",Black,40
Acer Predator Vesta II RGB 32 GB,143.8,"5,6000","2,16",Black,30
Silicon Power XPOWER Zenith RGB Gaming 32 GB,67.99,"4,3600","2,16",Black,18
Kingston FURY Beast RGB 32 GB,160.05,"4,3600","2,16",Black,18
TEAMGROUP T-Force Delta RGB 32 GB,124.99,"5,6000","2,16",Black,28
Corsair Vengeance 96 GB,354.99,"5,6000","2,48",Black,30
Lexar Ares RGB 32 GB,117.99,"5,6400","2,16",Black / Silver,32
G.Skill Flare X5 128 GB,399.99,"5,6000","2,64",Black,34
Crucial Pro 96 GB,209.99,"5,5600","2,48",Black,46
Corsair Vengeance RGB Pro 16 GB,103.99,"4,3600","2,8",Black,18
G.Skill Trident Z5 RGB 96 GB,339.99,"5,6800","2,48",Black,34
PNY XLR8 16 GB,31.99,"4,3200","2,8",Black / Red,16
Patriot Viper Steel 16 GB,51.99,"4,3600","2,8",Silver / Black,17
Crucial CT2K8G4DFS824A 16 GB,31.35,"4,2400","2,8",Green / Black,17
Kingston FURY Beast RGB 64 GB,496.01,"5,6400","2,32",Black,32
TEAMGROUP T-Force Delta RGB 16 GB,49.99,"4,3200","2,8",White,16
TEAMGROUP T-Create Expert 48 GB,145.99,"5,6400","2,24",Black / Gold,32
Crucial Classic 8 GB,21.99,"5,5600","1,8",Black,46
Corsair Vengeance LPX 256 GB,703.75,"4,3200","8,32",Black / Yellow,16
Crucial CT8G4DFRA32A 8 GB,25.72,"4,3200","1,8",Green,22
G.Skill Trident Z5 Neo RGB 64 GB,349.99,"5,6000","2,32",White / Black,26
G.Skill Trident Z RGB 32 GB,79,"4,3200","4,8",Black,16
Patriot Viper 3 16 GB,25.99,"3,1866","2,8",Black / Silver,10
Patriot Viper Venom 32 GB,94.99,"5,6000","1,32",Black / White,30
Corsair Dominator Titanium 64 GB,377.99,"5,6400","4,16",White,32
Corsair Dominator Platinum RGB 32 GB,172.99,"5,6200","2,16",Black,36
TEAMGROUP T-Create Expert 64 GB,180.99,"5,6400","2,32",Black,34
TEAMGROUP Elite 16 GB,48.99,"4,3200","1,16",Black,22
TEAMGROUP T-Force Delta RGB 32 GB,92.99,"5,6000","2,16",White,38
Corsair Vengeance LPX 32 GB,80.95,"4,3200","2,16",Black / Yellow,16
Crucial Ballistix MAX 16 GB,995,"4,5100","2,8",Black,19
G.Skill Ripjaws S5 64 GB,189.99,"5,5600","2,32",Black,28
G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,"5,6000","2,48",Gold,28
Crucial CT2K16G56C46U5 32 GB,77.98,"5,5600","2,16",Black,46
TEAMGROUP T-Create Expert 32 GB,65.98,"4,3600","2,16",Gray,18
Corsair Vengeance LPX 128 GB,315.9,"4,3200","4,32",Black / Yellow,16
G.Skill Trident Z5 RGB 32 GB,142.99,"5,7600","2,16",Black,36
Corsair Vengeance LPX 32 GB,119.99,"4,2133","2,16",Black / Yellow,13
Samsung M378A2K43CB1-CTD 16 GB,29,"4,2666","1,16",Green / Black,19
Kingston FURY Beast 32 GB,129.58,"5,6000","2,16",White,30
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8400","2,24",White,40
Corsair Vengeance RGB 32 GB,102.99,"5,5200","2,16",Black,40
G.Skill Ripjaws S5 64 GB,242.99,"5,6800","2,32",Black,34
Patriot Viper Venom 16 GB,53.99,"5,5600","2,8",Black / White,40
ADATA XPG SPECTRIX D35G RGB 32 GB,99.99,"4,3200","2,16",Black,16
G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,"5,6400","2,16",Silver,30
G.Skill Trident Z5 RGB 32 GB,164.99,"5,8000","2,16",Black,38
G.Skill Ripjaws M5 Neo RGB 32 GB,94.99,"5,6000","2,16",White,36
Corsair Dominator Titanium 64 GB,319.99,"5,6000","2,32",Black,30
G.Skill Trident Z5 RGB 64 GB,219.99,"5,6000","2,32",Black,30
Samsung M378A1K43CB2-CRC 8 GB,23.08,"4,2400","1,8",Green,17
Kingston Server Premier 64 GB,229.99,"4,3200","1,64",,22
G.Skill Flare X5 32 GB,127.99,"5,6000","2,16",White,28
Corsair Vengeance 64 GB,218.99,"5,5600","4,16",Black,36
Kingston FURY Beast 16 GB,73.36,"5,6000","2,8",Black / Silver,36
G.Skill Trident Z5 Neo RGB 32 GB,139.99,"5,6000","2,16",Silver / Black,30
Corsair Vengeance 32 GB,104.99,"5,6400","2,16",Black,36
G.Skill Trident Z5 Neo RGB 64 GB,254.99,"5,6000","2,32",White / Black,28
Kingston FURY Beast RGB 64 GB,523.82,"5,6400","2,32",White,32
TEAMGROUP T-Force Delta RGB 32 GB,124.99,"5,6000","2,16",White,28
G.Skill Ripjaws M5 RGB 48 GB,109.99,"5,5200","2,24",White,40
Corsair Vengeance 64 GB,285,"5,6600","2,32",Black / Gray,32
Corsair Vengeance LPX 16 GB,45.99,"4,3200","2,8",Black,16
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",White,30
TEAMGROUP T-Create Expert 64 GB,180.99,"5,6400","2,32",White,34
Corsair Vengeance LPX 16 GB,47.99,"4,2666","2,8",Black / Yellow,16
Corsair Dominator Titanium 64 GB,377.99,"5,6400","4,16",Black,32
G.Skill Flare X5 64 GB,234.99,"5,6000","2,32",White,28
Patriot Viper Steel 64 GB,126.86,"4,3200","2,32",Gray,16
G.Skill Ripjaws M5 RGB 96 GB,179.99,"5,5200","2,48",Black,40
Corsair Vengeance 16 GB,58.98,"5,5200","1,16",Black,40
G.Skill Trident Z5 RGB 32 GB,119.99,"5,6000","2,16",Black,30
Kingston FURY Beast RGB 16 GB,56,"4,3600","2,8",Black,17
G.Skill Ripjaws M5 Neo RGB 32 GB,88.98,"5,6000","2,16",Black,36
Corsair Vengeance 16 GB,75.98,"3,1600","2,8",Black / Yellow,9
Corsair Vengeance RGB 32 GB,119.99,"5,6400","2,16",White / Black,36
G.Skill Trident Z RGB 128 GB,329.99,"4,3600","4,32",Black,18
Kingston FURY Beast 32 GB,149,"4,3600","2,16",Black,18
G.Skill Trident Z RGB 32 GB,89.99,"4,4000","2,16",Black,18
TEAMGROUP T-Create Classic 32 GB,54.99,"4,3200","2,16",Silver,22
Kingston FURY 128 GB,427.99,"5,5600","4,32",White,40
TEAMGROUP T-Force Delta RGB 32 GB,119.99,"5,7200","2,16",Black / White,34
PNY XLR8 Gaming RGB 32 GB,89.99,"5,6400","2,16",Black,36
TEAMGROUP T-Create Expert 32 GB,72.99,"5,5600","2,16",Black / Gold,38
Kingston FURY Beast 32 GB,101.99,"5,5600","2,16",Black,40
G.Skill Ripjaws V 8 GB,69.98,"4,2400","1,8",Red,15
G.Skill Trident Z RGB 96 GB,349.99,"5,6400","2,48",Black,32
Corsair Vengeance LPX 16 GB,89.99,"4,3200","2,8",White,16
Crucial CT16G56C46U5 16 GB,40.99,"5,5600","1,16",Black,46
TEAMGROUP T-Force Vulcan 32 GB,79.99,"5,5200","2,16",Black,40
G.Skill Trident Z5 Neo 128 GB,419.99,"5,6000","2,64",Black,34
